parameter,legacy_project_value,legacy_source,Ohio_SETI_value,Ohio_SETI_commit,Arecibo_II_value,Arecibo_II_source,uncertainty,difference,provenance_difference,status,scientific_consequence
observation_datetime,(missing),(none),EST column 22:04:10 start; peak sample EST 22:16:10 row 61,28624a1,1977-08-15 22:16:06 EST (=08-16 03:16:06 UTC),Table 4 l.423; §4 l.175-179,+/-~2 sidereal s (clock); N50CH res 6 s,NEW (previously absent from project),printout time -> Gaussian-fit correction; not previously in project,NEW,Required for geometry/velocity/ephemeris work; enables correct frame transforms
frequency,1420.726 MHz +/-0.005 MHz,arXiv:2508.10657 abstract (wow_observation.yaml),2ND LO FREQ column: 120.185 MHz at channel-2 peak rows (data-verified this extraction),28624a1,1420.726 MHz +/-0.005 MHz,Table 4 l.424; equations §7 l.316-322,+/-0.005 MHz (half 10 kHz channel),0 (value confirmed),abstract-level locator upgraded to Table 4 + equations; GSR-tracking frame semantics now documented,UNCHANGED,frequency drives velocity -> HI population (H3) and RFI/harmonic arguments (H1); abstract may no longer be cited for it
channel_width_bandwidth,<=10 kHz (upper bound),arXiv:2408.08513 abstract (wow_observation.yaml),50 channels x 10 kHz (README schema),28624a1,10 kHz channel grid,§7 l.322; receiver §2 l.113,exact (channel grid),0 (same value),kind changed: legacy upper_bound -> channel-grid property; Wow II locator supersedes Wow I abstract locator,UNCHANGED,baseline for any spectral-compatibility modeling; removes an unnecessary bound interpretation
signal_apparent_duration,72 s (kind: point),Kipping & Gray 2022 abstract (wow_observation.yaml),sequence 6 E Q U J 5 across rows 58-63 (12 s cadence),28624a1,>=73.4 +/-0.5 s (lower bound),Table 4 l.427; §5 l.196,+/-0.5 s on bound,+1.4 s on the bound vs legacy 72 s point,legacy was a POINT estimate of a beam-geometry quantity; paper value properly CENSORED (beam-transit-derived),CHANGED,72-second quarantine preserved: neither value is intrinsic source duration; legacy point-encoding was a censoring violation now corrected
snr_peak,30.5 +/-0.5 sigma,arXiv:2408.08513 §II (wow_observation.yaml),SNR array (numeric) valid; channel-2 sequence data-located rows 58-63,28624a1,30.1 +/-0.4 sigma,Table 4 l.428; fig:wowfit l.192,+/-0.4 sigma,-0.4 sigma (-1.3%),legacy source was the HISTORICAL Ehman-1998 value (Table 4 'Previous' col) not a 2024-2025 measurement; new value from Gaussian fit,CHANGED,flux chain input updated; historical-vs-modern SNR line now correctly attributed
flux_density,">=250 Jy (abstract wording)",arXiv:2508.10657 abstract (wow_observation.yaml) - EXCLUDED as source value per authorization Part 3,FLUX array assumes max signal 54 Jy (README) = LEGACY_SUPERSEDED Ehman-era calibration,28624a1,">=256 +/-63 Jy (censored lower bound)",Table 4 l.430; equations §6 l.266-276,+/-63 Jy on bound,+6 Jy on the bound vs 250 wording; +202 Jy vs Ehman 54 legacy,legacy was abstract wording (not citable); repo calibration is legacy (54 Jy); paper value is beam-centered-equivalent lower limit with documented censoring semantics,CHANGED,H3 energetics and H4 engineering inputs shift ~2-25% depending on comparator; censoring ambiguity documented rather than resolved
flux_calibration_legacy_row,(n/a - row documents the repository product),(n/a),FLUX = estimated flux density assuming max signal 54 Jy (v0a README); SNR arrays unaffected,28624a1,"paper chain: sigma_channel 8.5+/-2.1 Jy; SNR_ntube 8.0+/-1.8; S_ntube 9.4 Jy",§6 l.239-279,(see flux row),different calibration generation (54 Jy vs >=256 Jy),repo v0a (2024-10-14) predates paper by ~10 months; different calibration generation,LEGACY_CALIBRATION,Ohio-SETI FLUX must never substitute for the modern bound; conflict 1 resolved as labelling (both preserved)
radial_velocity_heliocentric,(missing),(none),CFREQ_VEL / FREQ_CHAN_VEL arrays (v0a-era) not yet compared,28624a1,-84 +/-1 km/s,Table 4 l.431; §9 l.448,+/-1 km/s,NEW,derivation equations not explicit in paper (GSR-tracking subtlety; naive calc gives ~-67.6 km/s),NEW,defines the kinematic regime for H3; transformation methodology must be established before independent use
radial_velocity_lsr,(missing),(none),REFSYS 'LSR' in README schema (tension with paper GSR statement flagged),28624a1,-74 +/-2 km/s,Table 4 l.432; §9 l.448,+/-2 km/s,NEW,solar peculiar-motion convention unstated,NEW,HI4PI cloud matching key (IVC regime 25-90 km/s per paper §9 l.450 - interpretive)
source_angular_extent,(missing),(none),(none),28624a1,<=1.9 +/-0.1 arcmin,Table 4 l.434; fig:wowfit l.192,+/-0.1 arcmin,NEW (upper bound; assumes 8 arcmin beam),derived from Gaussian fit width under beamwidth assumption,NEW,H3 cloud angular-size prior; censored
